,scan,retntion time,m/z,TIC,similarity,match_scan
0,3,0.020602465866666666,532.6573,44326.28515625,0.94,3
1,32,0.2841520362666667,533.2592,48184.80078125,0.95,3
2,145,1.2854710122666666,532.8577,43661.265625,0.93,3
3,259,2.2952353064,532.8579,48168.13671875,0.9,3
4,372,3.2966241096,532.657,54236.125,0.94,295
5,427,3.7895550834666665,513.0441,34624.0625,0.9,424
6,455,4.045267,509.8524,33629.6796875,0.36,525
7,467,4.1586116016,665.8207,1526231.625,0.81,366
8,468,4.1800456968,573.2741,903944.25,0.52,573
9,470,4.205485924533333,629.0413,308526.78125,0.96,469
10,471,4.227285909333333,549.0535,739269.4375,0.95,470
11,473,4.2522445928,561.9021,3596987.0,1.0,472
12,474,4.274078988,620.3358,698188.5,0.15,638
13,476,4.2992152008,702.1276,553487.5625,0.99,473
14,477,4.3209646856,505.5172,634429.3125,0.43,482
15,479,4.338087538666667,581.3124,917598.9375,0.91,476
16,480,4.360048076266667,653.5427,759691.75,0.95,478
17,482,4.385144933866667,548.3005,2096659.375,0.43,470
18,483,4.406910273866667,638.5474,1484935.125,0.9,481
19,485,4.432359330933334,504.8184,970354.625,0.82,482
20,486,4.448573675466666,532.293,1289988.5,0.37,1585
21,488,4.4741617688,526.575,1727174.625,0.96,484
22,489,4.495967579466667,613.6042,422381.375,0.98,485
23,491,4.521566116533333,590.2924,1584620.625,0.99,487
24,492,4.5434228192,513.8939,724680.0,0.93,488
25,494,4.564279285866666,737.6121,347632.0625,0.99,491
26,495,4.586171788266666,527.2701,1731717.75,0.89,484
27,497,4.611724065066666,522.5213,1631441.25,0.95,490
28,498,4.620746270400001,587.8179,1047605.125,0.99,493
29,500,4.646417983466667,541.8969,2848830.5,1.0,496
30,501,4.6682788032,677.1175,1297495.25,1.0,497
31,503,4.693418594666666,682.1597,1312376.375,1.0,499
32,504,4.715291701866667,568.8021,657930.8125,0.96,500
33,506,4.740039471466667,607.3295,3521363.25,1.0,502
34,507,4.7617504301333335,758.9091,521190.25,1.0,503
35,509,4.786613712,607.9321,2199992.0,1.0,505
36,510,4.808425867466667,546.7048,632815.9375,0.68,618
37,512,4.833425650133334,509.2776,3869615.5,0.99,508
38,513,4.851875730666666,650.9432,1499642.0,0.99,509
39,515,4.876737734933333,534.1203,579206.3125,0.98,512
40,516,4.898565067733333,622.804,405818.625,0.46,1085
41,518,4.9239596632,521.5372,498242.0625,0.89,513
42,519,4.945796483466666,637.8451,303454.9375,0.97,516
43,521,4.9707403783999995,515.7968,746897.875,0.77,515
44,522,4.9889271053333335,508.0664,939778.5,0.92,518
45,524,5.0051264928000005,501.0213,1273677.125,0.87,522
46,525,5.023351353333334,683.7733,224264.953125,0.36,632
47,527,5.0484362888000005,536.2742,2218318.0,1.0,524
48,528,5.070352210133334,564.5287,696915.25,0.45,585
49,530,5.095661712266667,589.2916,3043063.25,1.0,527
50,531,5.1175573026666665,536.7756,695156.625,0.63,524
51,533,5.142352073333333,658.1514,3361948.5,1.0,530
52,534,5.164107982133333,822.4378,924836.75,0.83,534
53,536,5.188774603733333,529.28,3857111.0,0.99,531
54,537,5.210473698666666,524.5265,1382174.5,0.79,537
55,539,5.2352622274666665,529.7819,3521189.5,1.0,536
56,540,5.257012885333333,503.0193,1071158.875,0.6,540
57,542,5.270535703999999,562.3373,1638531.75,0.97,539
58,543,5.292428138133333,635.1263,1217834.5,0.34,2556
59,545,5.317596637333334,639.5387,553564.625,0.79,1028
60,546,5.339568802666666,533.1181,819979.1875,0.69,603
61,548,5.364430133333333,708.3611,4377437.5,0.99,543
62,549,5.386314161333333,545.7869,1002059.6875,0.34,563
63,551,5.410903073866667,566.8933,3862930.25,1.0,545
64,552,5.4325059376,582.3091,670993.0625,0.9,546
65,554,5.457127009866666,593.5566,3735763.0,0.98,555
66,555,5.478765536533333,561.5416,2714559.25,0.99,553
